MetaboliteID,UABT00017,UABT00018,UABT00019,UABT00020,UABT00021,UABT00022,UABT00023,UABT00024,UABT00025,UABT00026,UABT00027,UABT00028,UABT00029,UABT00030,UABT00031,UABT00032
M084,1947265,1785682,1853634,1329573,NA,44372,20676,NA,600934,711974,1208042,690261,NA,NA,NA,NA
M085,4806831,4274795,4421966,4645235,276354,NA,NA,604811,4445126,3766898,3332994,4448501,5860509,5213041,5367334,5110409
M086,1099507,1065701,952097,1006903,1564101,1654922,1543608,1556112,1696343,1304068,1093847,1446367,1498330,1074460,1212204,1178523
M087,178740,169425,197759,171236,NA,NA,NA,NA,57235,107372,77869,91351,NA,NA,NA,NA
M088,479603,517167,NA,480959,NA,119740,115523,NA,1509290,1298487,1247790,1306848,895515,751583,892551,856363
M089,347717312,360276992,409381216,388470432,478246656,467397984,480914208,481878752,344034400,276498656,312028000,320318144,406729856,376629216,391799168,361466080
M090,328117,373922,343472,348945,1555767,1685519,1654692,1785536,621520,489056,523128,697959,822587,747048,712140,951741
M091,146126,150515,101055,139635,NA,NA,NA,NA,122421,NA,NA,NA,114217,123575,137241,152408
M094,1893565,NA,1339958,423830,NA,185962,NA,NA,NA,1236244,1074351,NA,319560,454728,NA,NA
M095,446065,425110,363996,634120,NA,58627,NA,NA,330867,280619,327907,194331,367193,312329,417148,299063
M096,2490872,2619714,2701101,2860680,603293,467554,662333,838974,3497180,2556497,2724325,2837538,2323978,2030570,2263656,2063389
M097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295748
M098,475584672,474846400,471805984,472539040,113090824,107365056,123285072,123117640,428015968,336923168,358385856,338948800,309571872,283201472,298033632,251916976
M099,NA,NA,NA,NA,NA,NA,NA,NA,204903,NA,NA,NA,NA,NA,NA,517441
M100,407508,573357,601511,486437,191664,NA,207082,NA,342273,324231,389692,400123,159998,256462,316864,282091
M101,600278,592193,594909,694026,105475,103324,128242,124820,408734,372465,345321,338350,160755,136339,149397,152432
M102,554419,606446,477309,511469,NA,28613,43563,42100,359060,349261,413437,336085,83863,81468,73370,76083
M103,148904,126798,136349,141094,NA,NA,NA,NA,108973,122878,124886,87725,NA,NA,NA,NA
M104,374955520,375343872,432695264,419956224,27628000,28008724,27614250,29446830,403943232,333222688,381801632,375865376,236361440,210494944,215222784,197342176
M105,747974,885451,875296,911730,45030480,43368968,50786616,43956628,789245,726585,NA,325134,4969025,4392965,4471010,4911828
M106,1069194,985011,1158515,953446,NA,NA,NA,NA,803771,631533,461794,NA,511061,NA,NA,NA
M107,11106999,11044008,12787259,12145166,NA,NA,NA,NA,12195753,10096974,11937248,11404688,7369035,6121396,6719180,5933263
M109,126949328,125490256,139844096,132277968,26526200,17410648,19922832,22029736,157939632,114828848,149777712,115655336,31529904,21813364,22930276,20487964
M110,8048300,8573617,8379749,8994572,378490,375169,345509,251245,8558117,7741329,8019977,7580892,5674152,4896888,4811241,4577376
M111,14884622,12049646,14827667,14452224,2427348,2531148,3245778,2542592,18859036,14154383,17082024,14230117,7974801,6322369,7325062,6865187
M112,62664,98192,NA,NA,NA,NA,NA,NA,NA,NA,82257,117274,NA,NA,NA,NA
M113,157856,334077,313763,335252,NA,NA,NA,NA,154196,231889,246642,250377,334366,326218,329050,297106
M114,2431270,2158520,2554682,2593254,735688,767149,770864,693662,2641560,1922268,2081632,1890126,1260232,923935,1202549,1067111
M115,508618,412614,645915,518251,NA,NA,NA,NA,460505,407881,336865,258480,173528,NA,232359,120170
M116,855128,770439,1083138,1210023,NA,NA,NA,NA,1784362,2321047,1055572,1049471,210144,NA,NA,NA
M117,2098121,2061440,1844886,2102347,114360,186704,46540,92739,2995737,2410154,2277661,2318650,782989,681656,602355,742398
M118,941840,675448,643527,1108141,NA,NA,NA,NA,449077,773180,NA,605923,494645,NA,534095,NA
M119,424629216,409457600,505301824,470033024,11405459,11583409,12226039,11827347,507303392,439855168,537527488,518680288,571129664,540404224,575130560,537768960
M120,319626336,330417408,344321568,336655392,1844821,1802333,1907023,1905551,398614368,363040288,427577088,419038048,272892768,254883600,264529200,242614976
M121,1025848,1061208,1134597,1123158,NA,NA,NA,NA,430352,353309,478383,520649,NA,NA,NA,NA
M122,56428388,55836616,69206176,62854544,NA,NA,NA,NA,90704880,68302392,85611664,72282720,4662701,3635966,4029932,3689604
M123,115248624,122794424,126538992,131816096,218023,251979,394902,201835,131975536,128803136,148203600,149963648,87145080,81695872,81875736,79862256
M124,3474423,3613704,3128859,3659347,NA,NA,NA,NA,4008557,3457240,2943063,2626326,915689,635380,814757,688567
M125,20822802,22684208,24462306,25926318,NA,NA,NA,NA,22576672,22392360,24361668,25809282,12965948,13241429,11352431,13167427
