Accession,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12
EIC29292.1,669,958,805,966,770,685,420,599,724,855,772,162
EIC29293.1,114,174,128,354,248,139,40,36,98,81,84,32
EIC29294.1,83,114,83,318,214,119,21,18,69,65,47,31
EIC29295.1,189,247,176,803,528,256,43,63,152,168,114,53
EIC29296.1,39,72,40,174,112,63,7,10,28,35,28,17
EIC29297.1,45,59,71,146,118,72,14,20,54,41,41,23
EIC29298.1,46,87,63,240,140,87,12,13,45,39,50,22
EIC29299.1,98,129,100,329,236,118,29,29,77,79,57,30
EIC29300.1,430,542,481,1882,1225,686,96,129,365,341,386,166
EIC29301.1,201,244,164,743,527,255,68,77,189,177,184,70
EIC29302.1,50,60,59,237,147,96,19,27,56,40,61,26
EIC29303.1,329,455,354,1504,1046,557,99,128,317,342,495,117
EIC29304.1,233,270,271,901,742,352,82,72,310,290,423,146
EIC29305.1,190,195,216,738,592,160,93,135,241,261,357,128
EIC29306.1,15,23,17,54,59,25,20,19,33,29,25,16
EIC29307.1,410,561,563,551,416,488,121,178,268,532,463,81
EIC29308.1,801,1004,1021,1132,818,777,299,406,490,1009,827,152
EIC29309.1,248,333,258,303,239,239,183,306,387,336,305,99
EIC29310.1,339,489,414,407,322,398,392,530,698,436,478,168
EIC29311.1,839,1441,1106,1154,854,1026,441,645,722,964,830,161
EIC29312.1,472,689,548,569,403,534,105,141,178,455,365,60
EIC29313.1,858,1369,1035,1023,796,1113,279,407,443,913,723,114
EIC29314.1,572,971,724,735,472,897,281,401,439,655,459,98
EIC29315.1,7,19,10,8,10,31,3,5,1,12,0,1
EIC29316.1,0,0,0,0,0,0,0,0,0,0,0,0
EIC29317.1,29,27,28,49,40,20,11,18,21,39,49,9
EIC29318.1,133,214,143,231,202,210,140,149,224,219,205,68
EIC29319.1,1127,1322,1424,1879,1492,1204,656,768,1201,1692,2073,442
EIC29320.1,4548,4369,6287,7146,6176,2671,2336,3105,4742,7221,7893,1659
EIC29321.1,1652,1663,2200,2100,1865,820,897,1131,1432,2429,2551,443
EIC29322.1,514,576,611,742,550,386,262,265,390,724,799,159
EIC29323.1,822,951,1060,1296,1019,746,452,531,819,1232,1268,264
EIC29324.1,963,1144,1252,1476,1190,905,649,775,969,1467,1495,319
EIC29325.1,523,533,655,735,619,410,384,435,494,734,817,165
EIC29326.1,412,377,480,785,630,373,162,207,397,664,755,162
EIC29327.1,732,796,962,1206,997,641,341,440,768,1166,1234,218
EIC29328.1,5355,6774,8165,8093,5857,6741,2464,2648,4951,7316,8727,1683
EIC29329.1,869,943,1197,1378,1067,977,310,362,678,1327,1433,264
EIC29330.1,1660,2058,2523,2778,2116,1580,646,918,1598,2913,3189,547
EIC29331.1,1645,1933,2709,3594,2342,1468,829,1111,1413,2811,3534,630
EIC29332.1,2606,2956,3713,3940,3201,2414,1517,2095,3232,4803,5281,1074
EIC29333.1,1319,1396,1835,1830,1574,833,1018,1355,1604,2437,2378,469
EIC29334.1,648,729,793,1012,863,719,357,430,857,1187,1119,262
EIC29335.1,165,188,335,1023,403,129,116,156,257,342,479,138
EIC29336.1,546,703,950,2515,1339,766,166,246,516,855,1087,254
EIC29337.1,903,1159,1172,1306,927,1495,346,373,704,1267,1301,299
EIC29338.1,499,753,589,823,662,1028,220,264,381,618,631,117
EIC29339.1,49,86,72,105,87,139,18,22,37,71,57,19
EIC29340.1,244,314,221,376,294,432,82,92,200,238,266,68
EIC29341.1,1179,2032,1347,1881,1451,2649,397,503,1069,1349,1364,336
EIC29342.1,1198,1982,1345,1816,1409,2106,411,409,1017,1483,1589,352
EIC29343.1,989,1729,1374,1358,987,1659,262,307,498,1362,1093,187
EIC29344.1,216,295,287,284,230,188,86,171,206,335,280,60
EIC29345.1,390,607,459,530,446,685,298,326,373,465,485,114
EIC29346.1,198,293,287,345,281,285,111,120,154,292,291,71
EIC29347.1,103,147,126,158,106,108,79,76,101,121,162,29
EIC29348.1,9,17,17,17,20,12,13,17,17,22,17,4
EIC29349.1,0,0,0,0,0,0,0,0,0,0,0,0
EIC29350.1,0,0,0,0,0,0,0,0,0,0,0,0
EIC29351.1,0,0,0,0,0,0,0,0,0,0,0,0
EIC29352.1,9,12,9,15,15,18,7,11,10,8,13,8
EIC29353.1,2,3,4,5,6,7,3,1,2,9,5,0
EIC29354.1,28,29,19,28,22,58,22,18,30,30,29,6
EIC29355.1,15,30,22,31,19,37,20,23,31,21,34,10
EIC29356.1,618,992,770,856,690,910,853,875,1140,641,722,321
EIC29357.1,21,35,26,44,30,16,22,19,26,25,27,13
EIC29358.1,0,0,0,0,0,0,0,0,0,0,0,0
EIC29359.1,43,55,47,68,40,79,28,29,51,48,56,15
EIC29360.1,7,7,6,11,5,7,1,9,4,7,11,3
EIC29361.1,0,0,0,0,0,0,0,0,0,0,0,0
EIC29362.1,16,29,16,21,18,42,9,10,16,15,17,6
EIC29363.1,98,144,68,97,54,215,36,35,43,72,73,16
EIC29364.1,286,583,290,484,371,740,86,92,150,252,258,57
EIC29365.1,103,214,128,126,116,264,38,39,75,96,103,24
