Accession,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12
EIC30841.1,845,1334,518,1195,790,1232,629,667,1110,451,505,350
EIC30842.1,278,384,344,354,280,466,292,313,372,330,258,95
EIC30843.1,240,323,242,226,227,176,253,321,326,291,250,66
EIC30844.1,291,412,364,370,321,260,182,240,342,365,352,59
EIC30845.1,2566,2478,3101,3302,2851,1765,1402,1588,2937,3617,4013,860
EIC30846.1,1744,1711,2194,2564,2059,1543,946,1002,1747,2197,2740,546
EIC30847.1,6382,6840,6629,11319,9312,4724,2376,2886,5175,7082,7394,1704
EIC30848.1,2702,3389,3221,3998,3271,3234,1360,1481,2820,3381,3437,839
EIC30849.1,453,531,569,720,581,592,183,232,437,542,607,114
EIC30850.1,225,220,264,375,333,189,79,83,176,311,332,58
EIC30851.1,1512,1516,1828,2241,1863,1199,640,804,1477,2123,2354,420
EIC30852.1,6272,7289,7490,8744,7173,5804,2903,3380,6011,8234,8792,1642
EIC30853.1,1760,2201,1974,2179,1918,1891,1036,1276,2167,2014,2300,553
EIC30854.1,1002,1543,1200,1284,1040,1258,579,772,1136,1065,1161,283
EIC30855.1,749,1134,689,691,653,867,622,695,781,795,745,144
EIC30856.1,781,1111,904,1117,866,1039,394,470,784,923,987,198
EIC30857.1,9678,13294,12006,14394,10501,13163,4560,5948,11214,11813,13514,2974
EIC30858.1,2592,3017,3203,4001,3111,2617,601,800,1725,3629,3800,380
EIC30859.1,8849,10445,11595,19697,15436,11492,2464,3722,7762,16965,18395,1910
EIC30860.1,173,252,252,263,177,228,94,180,215,204,293,49
EIC30861.1,212,289,240,231,203,210,106,202,210,259,227,47
EIC30862.1,2965,4184,3271,3335,2491,2798,1177,1940,2168,2711,2312,451
EIC30863.1,184,241,225,277,190,173,97,102,160,255,228,44
EIC30864.1,32725,34165,54515,89980,50467,6819,11348,17789,24232,67800,78608,3868
EIC30865.1,6778,7140,10704,17613,9881,1438,2495,3875,5389,13384,14680,783
EIC30866.1,3975,4464,6316,9645,6288,1439,2869,3173,3980,8059,9065,805
EIC30867.1,2627,3876,3074,4675,3341,3486,913,1182,2286,3361,3017,600
EIC30868.1,695,927,819,1180,866,1138,362,457,770,841,838,212
EIC30869.1,1090,1456,1214,1517,1261,1516,648,749,1030,1215,1349,244
EIC30870.1,161,234,188,239,196,218,128,140,180,197,212,48
EIC30871.1,975,1351,1058,1613,1147,1257,434,620,951,1099,1259,226
EIC30872.1,2869,3748,3097,4663,3434,3211,1267,1953,3018,3561,4046,686
EIC30873.1,241,353,291,350,292,287,208,267,319,336,375,67
EIC30874.1,394,537,496,824,598,723,234,275,474,482,580,122
EIC30875.1,71,110,88,93,97,86,81,92,130,99,91,23
EIC30876.1,559,839,662,1120,857,773,387,541,741,721,874,203
EIC30877.1,616,1315,1539,21540,17026,5470,6340,10580,29011,13135,22106,5361
EIC30878.1,1470,2558,3955,60380,43834,12006,5683,9879,33978,30438,51722,8349
EIC30879.1,450,874,1200,23216,15175,4258,1501,2580,9568,9433,15750,2651
EIC30880.1,1225,2278,3153,49110,33962,9169,3287,6349,20987,23385,36539,4677
EIC30881.1,1666,3207,4374,64448,45913,13835,5591,10138,34082,33056,48110,7661
EIC30882.1,1194,2181,2792,38153,26918,7596,4570,7793,18022,17931,24449,3840
EIC30883.1,81,131,136,1233,1101,403,673,689,1145,858,979,223
EIC30884.1,1765,2962,3328,33144,22882,7788,3440,6168,13900,13469,19626,3048
EIC30885.1,747,939,2156,2736,2171,1024,524,755,1456,3759,3002,364
EIC30886.1,1,3,2,2,2,1,1,4,4,1,4,0
EIC30887.1,11245,12743,15251,16884,12472,8936,5372,6830,9988,13604,15652,2818
EIC30888.1,2198,2557,2274,3210,2367,1758,683,859,1557,2117,2359,397
EIC30889.1,994,1531,686,1254,856,1114,537,658,898,497,570,197
EIC30890.1,2082,2862,2701,3474,2530,2798,896,1141,1949,3091,3045,645
EIC30891.1,1653,1900,2450,2211,1891,1672,854,1008,1670,2764,3000,507
EIC30892.1,507,571,697,677,605,447,292,383,530,845,832,177
EIC30893.1,448,398,593,659,499,219,203,262,417,719,761,165
EIC30894.1,500,657,1188,534,483,390,475,660,919,1721,1328,210
EIC30895.1,459,562,1330,741,577,420,236,391,647,2134,1471,175
EIC30896.1,417,442,1153,687,559,355,371,632,671,1660,1042,147
EIC30897.1,2031,2082,3035,2583,2056,1219,1276,2145,2315,3874,3204,519
EIC30898.1,282,296,432,997,825,227,190,246,286,565,473,123
EIC30899.1,196,259,247,320,283,195,249,229,402,231,277,124
EIC30900.1,135,169,174,215,171,136,117,153,188,172,168,49
EIC30901.1,488,525,635,694,561,425,458,622,872,577,692,200
EIC30902.1,178,202,183,233,199,134,117,187,246,258,235,50
EIC30903.1,73,85,98,97,92,80,49,74,78,103,102,22
EIC30904.1,4,7,1,3,2,5,7,5,8,4,5,1
EIC30905.1,2317,2937,2920,3283,2574,2307,1318,1678,1961,2789,3054,564
EIC30906.1,4394,6184,4760,4945,4226,4427,3824,4934,6782,4572,4630,2025
EIC30907.1,864,1168,855,1026,821,729,399,697,840,824,731,232
EIC30908.1,139,193,119,165,128,129,82,158,171,160,108,30
EIC30909.1,82,122,83,108,92,71,43,54,60,71,70,10
EIC30910.1,137,179,170,215,129,134,49,53,107,124,115,19
EIC30911.1,1897,2613,2012,2476,2109,1875,914,1336,1468,2145,1883,400
EIC30912.1,762,957,885,1039,821,899,363,421,702,1035,1023,215
EIC30913.1,1187,1246,1563,1724,1379,1046,513,569,1087,1844,1960,403
EIC30914.1,976,1244,1310,1213,1021,897,556,632,1203,1614,1729,421
EIC30915.1,98,107,125,132,99,112,28,35,53,122,142,30
EIC30916.1,2136,2406,2532,3254,2366,1818,529,642,1219,2886,3307,520
EIC30917.1,1176,1575,1558,1696,1463,1323,463,544,850,1805,1956,324
EIC30918.1,865,1093,1129,1276,970,758,181,291,546,1163,1287,200
EIC30919.1,639,866,824,907,674,697,191,248,437,838,912,133
EIC30920.1,4195,5649,5249,5544,4224,4516,2763,3632,4776,5255,5858,1514
EIC30921.1,729,1031,985,1068,796,791,367,483,582,919,1067,166
EIC30922.1,1464,2222,1793,2151,1751,1826,965,1273,1325,2099,2104,384
EIC30923.1,527,902,505,815,716,995,411,419,532,687,790,181
EIC30924.1,1964,2171,2769,2812,2178,1522,977,1542,1867,3107,3497,513
EIC30925.1,50419,66007,78502,70331,51236,79394,100044,92950,133408,79093,111543,41135
EIC30926.1,3581,5058,4878,4990,3891,6629,3360,3023,3666,4581,4869,1318
EIC30927.1,3397,5524,4451,5229,3600,5841,1170,1454,2990,4104,4665,1016
EIC30928.1,784,785,1058,1195,940,637,316,460,833,1211,1329,276
EIC30929.1,434,357,597,700,556,205,167,264,620,911,917,179
EIC30930.1,1547,1351,2145,1895,1567,759,991,1213,1746,2698,2824,502
EIC30931.1,1224,1694,1487,1547,1170,1544,451,577,861,1401,1576,319
EIC30932.1,535,787,720,763,614,818,254,289,448,638,721,165
EIC30933.1,226,471,317,341,217,506,59,79,155,298,252,64
EIC30934.1,374,652,494,500,348,895,77,86,193,455,371,83
EIC30935.1,1116,2407,1505,1414,1018,2732,282,392,775,1260,1060,268
EIC30936.1,748,1217,994,1016,713,1329,241,293,549,876,757,201
EIC30937.1,1088,1737,1367,1347,1035,1546,582,737,970,1367,1225,280
EIC30938.1,350,464,476,541,412,404,154,243,278,444,578,92
EIC30939.1,1079,1441,1577,1655,1256,1274,520,670,972,1355,1901,367
EIC30940.1,424,497,451,609,471,537,167,213,293,536,535,112
EIC30941.1,404,581,494,641,522,613,129,156,341,574,631,115
EIC30942.1,832,1087,957,1119,914,1006,214,306,620,1193,1164,259
EIC30943.1,1517,1795,1748,2162,1741,1842,574,617,1348,2126,2348,511
EIC30944.1,742,1066,888,1279,915,1066,504,606,887,977,1281,401
EIC30945.1,766,1141,1051,1298,952,1528,314,329,740,1087,1229,248
EIC30946.1,204,244,247,338,306,184,95,128,169,301,308,61
EIC30947.1,203,218,274,494,406,195,99,123,210,399,355,66
EIC30948.1,249,237,288,403,400,189,172,229,227,434,364,77
EIC30949.1,2080,2543,3076,3807,3337,1881,876,1309,1605,3835,3363,485
EIC30950.1,5787,7984,10266,10024,8081,5893,3309,5133,6511,10296,10630,1985
EIC30951.1,4566,4730,12095,7846,6685,3230,5645,9044,11371,12623,12199,2311
EIC30952.1,1240,1784,1475,1469,1153,1326,914,1151,1167,1474,1408,305
EIC30953.1,1873,2700,2574,3339,2466,2288,2565,2860,5199,3552,4996,1834
EIC30954.1,5175,6881,6920,6937,5331,6634,9007,9072,14536,7259,9662,4803
EIC30955.1,10107,9778,14005,11371,9275,5961,16199,18286,21127,15712,15820,5627
EIC30956.1,19321,17606,26182,22082,17624,7588,16319,24046,26684,30867,30388,6137
EIC30957.1,15257,14516,20269,17085,14046,6014,11361,18544,21046,25837,24537,4409
EIC30958.1,6696,6513,8435,7862,6321,3138,6411,8918,10106,10668,9894,2228
EIC30959.1,7674,8280,9816,7997,7133,3953,7473,11423,14299,12832,12347,2891
EIC30960.1,2736,2477,3526,2916,2230,1212,2282,3171,4110,4277,4084,1126
EIC30961.1,26061,22581,33164,28244,22534,7822,12330,22140,25208,43486,40286,6042
EIC30962.1,6153,5234,8714,7500,5880,2217,3271,4467,5729,10231,10581,1444
EIC30963.1,1040,986,1366,1238,1010,374,759,902,1066,1793,1645,296
EIC30964.1,12458,9760,17272,15586,11656,4450,5500,8763,10250,20572,21027,2770
EIC30965.1,5675,4530,7302,6770,5248,2007,2824,4038,4644,9221,9319,1154
EIC30966.1,13045,10926,17668,16029,12199,4889,8324,12109,12260,21965,20676,3065
EIC30967.1,7521,6020,9842,9399,7257,2627,4242,7003,7649,12796,11553,1705
EIC30968.1,3605,2948,4765,4610,3632,1255,2529,3896,4249,6076,5688,865
EIC30969.1,13650,10932,18534,17234,13033,3812,7105,14078,15991,22939,23211,3048
EIC30970.1,5215,4040,7005,6392,4819,1488,2646,4529,4819,7907,8280,949
EIC30971.1,3787,3268,4871,4557,3813,1240,2538,3976,4120,6320,6226,792
EIC30972.1,3921,3487,5283,4025,3596,1347,2622,3927,4208,6828,6696,671
EIC30973.1,1427,1287,2043,1847,1539,602,1035,1510,1721,2413,2417,359
EIC30974.1,7059,5792,9460,8547,6653,2248,3643,5854,6296,11586,11182,1418
EIC30975.1,17435,13428,23256,20884,15152,5031,8501,14541,15272,27925,26825,3037
EIC30976.1,3427,2794,4297,3533,3005,1006,1770,2596,2931,5549,5269,482
EIC30977.1,4754,4119,7000,5926,4662,1580,2964,4117,4789,7867,8969,1041
EIC30978.1,19875,16099,28366,23855,18963,6209,8295,13152,15696,35477,36867,3404
EIC30979.1,3750,3202,5330,4816,3624,1192,1499,2632,3351,7096,6514,573
EIC30980.1,10983,8599,15646,14305,10671,3602,4161,6447,8110,20238,21409,1891
EIC30981.1,12128,10471,18023,14206,12435,4195,5314,8195,10521,25056,25863,1990
EIC30982.1,6983,5897,11273,10911,7702,2583,2815,4182,6073,12980,14864,1561
EIC30983.1,1959,1683,2847,2620,2082,707,769,1222,1945,4016,4612,459
EIC30984.1,28973,22651,40402,34113,27941,9067,15666,20172,21571,54465,51604,4995
EIC30985.1,6401,5368,9096,7438,6105,2608,4059,4760,5245,10858,11235,1205
EIC30986.1,13211,12796,21068,15323,13554,7162,11437,14988,16247,24561,26549,3156
EIC30987.1,37506,37500,56342,54413,43638,24100,13782,18757,28265,65762,65341,7557
EIC30988.1,37259,35063,54898,50454,40637,19161,15138,22042,31321,66850,65888,7450
EIC30989.1,12882,11147,16628,12302,11395,3696,11583,18469,17476,23071,20659,2478
EIC30990.1,27393,22207,38845,31915,24851,7141,18163,32547,30444,46803,44376,5232
EIC30991.1,16535,13488,25182,21762,16993,5346,8073,12008,12758,28540,29144,2836
EIC30992.1,11430,9699,17148,15808,11263,4274,5909,9207,9757,18702,20080,2492
EIC30993.1,17209,15020,23377,19198,16743,6430,13361,18980,19318,29127,30615,3785
EIC30994.1,9557,8981,12295,9479,8876,3594,6083,10381,11610,17932,16373,2090
EIC30995.1,9803,7937,13717,10929,9458,3236,3780,6389,8375,17268,19329,2079
EIC30996.1,10052,8195,15110,11589,10404,2787,4252,7344,8687,22480,23270,2416
EIC30997.1,14983,13367,19089,15721,15159,5566,16315,22824,24215,28933,29858,5751
EIC30998.1,11446,10562,15857,11085,10941,5055,9993,13164,12815,21373,20789,3195
EIC30999.1,3879,4855,5134,3526,3789,3163,2488,3865,3546,6961,6681,772
EIC31000.1,704,959,806,827,838,834,217,286,702,1187,1048,142
EIC31001.1,4514,5545,5840,6609,5623,4254,2080,2820,4667,6546,7220,1313
EIC31002.1,1645,2123,2007,2106,1588,2342,736,946,1521,2286,2372,520
EIC31003.1,1178,1514,1472,1812,1364,1692,373,467,960,1581,1685,348
EIC31004.1,508,626,575,740,585,694,139,184,414,712,686,129
EIC31005.1,384,541,501,594,456,499,119,165,249,454,519,82
EIC31006.1,734,1130,894,1096,765,917,291,442,511,959,980,168
EIC31007.1,0,0,0,0,0,0,0,0,0,0,0,0
EIC31008.1,9,16,14,20,18,30,8,2,15,16,12,1
EIC31009.1,436,766,489,754,655,1006,108,140,276,526,482,107
EIC31010.1,205,329,237,397,309,453,81,86,140,193,210,65
EIC31011.1,284,490,337,537,390,779,100,122,196,283,299,83
EIC31012.1,1013,1632,994,1931,1396,2690,326,394,853,1126,1218,317
EIC31013.1,1521,1692,1877,2200,1771,1431,580,796,1452,2196,2394,477
EIC31014.1,518,795,651,716,542,925,187,222,345,751,683,110
EIC31015.1,1035,1845,1281,1169,967,1924,384,497,759,1361,1240,279
EIC31016.1,632,728,799,942,784,655,207,294,553,1111,1144,199
EIC31017.1,2885,3305,3841,4476,3518,3572,1086,1316,2799,4892,5516,1133
EIC31018.1,1435,2030,1611,1499,1457,1114,562,708,1248,1639,1605,303
EIC31019.1,587,867,694,893,762,854,335,526,848,970,1019,295
EIC31020.1,623,796,782,785,679,800,330,344,756,902,922,290
EIC31021.1,1077,1494,1230,1498,1266,1530,507,588,1211,1500,1526,445
EIC31022.1,273,378,302,359,291,423,161,171,262,328,387,92
EIC31023.1,644,916,710,924,769,662,444,600,694,752,870,208
EIC31024.1,10515,9727,15162,13440,11278,4948,5804,8532,11133,16823,16307,3183
EIC31025.1,7944,11930,8296,5987,5419,10648,10856,11676,11965,9421,8562,1936
EIC31026.1,13434,15944,22377,17156,13946,15101,6605,8254,13792,23515,26843,5117
EIC31027.1,242,342,325,474,369,385,134,129,269,310,344,94
EIC31028.1,1014,1337,1521,1956,1564,1392,317,347,595,1576,1816,263
EIC31029.1,345,331,302,1401,1224,277,120,138,214,453,486,104
EIC31030.1,277,227,275,1002,956,207,76,107,202,350,393,86
EIC31031.1,574,599,655,1944,1804,523,139,223,427,895,726,183
EIC31032.1,57,67,75,153,141,76,19,34,55,85,86,21
EIC31033.1,162,217,170,265,272,198,92,107,100,212,153,39
EIC31034.1,1074,1727,1212,1358,1057,1660,639,858,1020,1086,862,286
EIC31035.1,1599,2430,1878,2279,1852,2521,650,876,1120,2056,1709,341
EIC31036.1,38,78,51,64,46,123,29,30,39,79,55,9
EIC31037.1,46,87,62,88,47,103,31,19,38,59,51,21
EIC31038.1,28,23,26,27,13,42,12,14,14,17,25,8
EIC31039.1,37,43,35,50,38,55,28,22,29,36,31,18
EIC31040.1,1039,1530,1160,1327,993,1685,643,780,828,1217,1115,277
EIC31041.1,131,207,147,164,131,262,119,145,158,202,143,48
EIC31042.1,19,20,20,14,12,27,14,20,16,15,8,5
EIC31043.1,219,316,251,255,218,341,195,198,272,230,224,60
EIC31044.1,205,318,233,281,210,288,164,176,280,227,237,57
EIC31045.1,825,1206,1058,1032,768,1247,601,746,846,1013,989,234
EIC31046.1,1048,1472,1333,1347,1044,1540,569,871,888,1370,1371,310
EIC31047.1,145,165,188,190,139,150,144,188,225,200,199,65
EIC31048.1,716,786,1064,1087,761,646,343,397,710,1115,1314,237
EIC31049.1,454,662,612,665,510,469,344,486,612,710,682,183
EIC31050.1,137,226,198,164,163,146,124,223,258,227,257,63
EIC31051.1,18,8,16,29,27,12,5,10,9,20,17,3
EIC31052.1,54,47,57,100,87,60,16,29,41,83,78,11
EIC31053.1,18,16,20,32,46,31,9,6,16,44,19,4
EIC31054.1,6,16,18,39,24,11,5,4,10,16,22,7
EIC31055.1,24,33,34,36,13,38,19,21,36,33,28,10
EIC31056.1,2,5,7,3,3,6,2,1,5,6,3,2
EIC31057.1,20,31,23,34,32,23,12,28,18,49,40,5
EIC31058.1,1398,1481,1944,2093,1525,1235,632,743,1132,1948,2162,489
EIC31059.1,798,862,919,1067,825,789,576,601,819,1001,1117,276
EIC31060.1,1035,1066,1791,1803,1423,812,446,587,1223,1871,2563,553
EIC31061.1,979,993,1406,1395,1255,774,337,464,1200,1699,2205,424
EIC31062.1,4318,4308,6401,7341,5956,3930,1471,1857,4446,7950,9469,1773
EIC31063.1,449,431,644,781,586,345,204,217,357,810,972,171
EIC31064.1,433,340,582,872,689,272,303,326,449,748,910,142
EIC31065.1,111,137,168,272,230,92,105,122,151,189,212,42
EIC31066.1,231,208,300,851,689,153,166,217,307,355,436,73
EIC31067.1,1039,1401,1202,1599,1267,1384,700,795,1208,1395,1523,496
EIC31068.1,2727,2647,3799,4319,3487,1845,1668,1895,3607,5264,5683,1166
EIC31069.1,5800,8714,8959,10511,7085,12158,3842,4190,8159,8817,11444,2728
EIC31070.1,450,469,505,777,641,507,187,229,500,747,752,186
EIC31071.1,501,605,684,934,754,595,218,276,496,813,944,222
EIC31072.1,895,986,919,1250,1146,770,351,480,832,1239,1328,283
EIC31073.1,387,448,486,651,487,370,110,135,320,530,613,102
EIC31074.1,636,669,732,1008,740,548,241,332,541,840,986,207
EIC31075.1,1126,1393,1488,1786,1381,1506,630,701,1343,1746,1946,547
EIC31076.1,3236,3709,3824,4468,3617,2874,1250,1820,2900,4417,4851,935
EIC31077.1,509,580,760,901,757,704,333,436,612,961,1024,236
EIC31078.1,2201,1972,2947,2928,2695,1541,1148,1445,2581,4360,4779,771
EIC31079.1,76,108,114,125,89,139,44,36,65,96,101,28
EIC31080.1,26,57,70,108,90,62,32,54,67,44,33,24
EIC31081.1,12,19,15,18,15,22,11,11,14,11,20,7
EIC31082.1,49,59,51,104,80,47,10,20,42,50,51,13
EIC31083.1,41,38,42,61,62,36,8,18,28,56,35,9
EIC31084.1,189,232,202,344,259,196,99,118,215,306,295,79
EIC31085.1,197,236,206,276,267,206,92,96,206,313,337,92
EIC31086.1,901,1216,976,1188,1031,1205,371,428,905,1356,1326,353
EIC31087.1,693,1156,878,829,671,790,753,838,1076,903,961,252
EIC31088.1,465,639,539,770,660,496,326,452,540,647,656,164
EIC31089.1,814,1019,957,1191,1000,883,476,500,830,1240,1328,280
EIC31090.1,788,862,1011,1227,1033,732,279,292,761,1301,1467,259
EIC31091.1,1073,1154,1483,1485,1210,971,413,534,875,1702,1849,317
EIC31092.1,1468,1647,2089,2485,1884,1235,597,813,1564,2602,3170,612
EIC31093.1,926,1073,1272,1525,1149,767,353,469,727,1679,1874,277
EIC31094.1,3735,3858,4932,5425,4068,2843,1380,1928,3619,7047,8171,1183
EIC31095.1,4991,5586,7221,7858,5951,6364,2891,3102,6472,10649,12845,2440
EIC31096.1,471,552,686,736,562,487,188,204,371,688,738,129
EIC31097.1,1020,1148,1358,2011,1792,847,407,662,903,1825,1795,279
EIC31098.1,619,634,949,1422,1345,516,315,381,513,1212,1448,146
EIC31099.1,122,158,184,245,259,112,65,112,139,237,254,41
EIC31100.1,494,583,869,1091,861,559,258,353,558,1009,1146,209
EIC31101.1,845,814,1910,1237,1192,529,456,680,1098,2382,2254,269
EIC31102.1,1065,1489,1609,1416,1053,1535,786,943,1440,1788,1911,421
EIC31103.1,7077,8577,16284,8832,7258,8401,13100,19741,25107,19340,26092,5491
EIC31104.1,5349,6440,5939,6926,5299,5581,5193,6571,8410,6864,8068,2398
EIC31105.1,964,1151,1334,1812,1592,763,609,849,898,1445,1595,284
EIC31106.1,301,349,407,649,523,195,243,278,407,493,465,114
EIC31107.1,1192,1415,1545,1766,1329,1174,522,703,984,1826,1769,248
EIC31108.1,19194,23904,26794,28262,21913,19564,11235,14718,17352,34861,42165,4321
EIC31109.1,22574,28139,30509,35501,26957,24163,11057,14569,21881,42537,54282,7235
EIC31110.1,14866,20949,17112,17339,13669,13184,3790,5601,8167,20369,21191,2393
EIC31111.1,15498,20826,18048,19815,14772,13999,3394,5208,9550,21603,23486,3144
EIC31112.1,63892,86853,79954,83976,63078,59786,16723,24920,41561,97945,109060,12672
EIC31113.1,28270,40228,34492,36589,27450,32200,15748,19741,25450,40056,44369,7166
EIC31114.1,49628,69619,61080,68024,48720,55908,20586,29976,37632,68021,79109,11355
EIC31115.1,1333,1754,1563,1901,1405,1486,543,739,979,1789,2035,339
EIC31116.1,807,1018,1067,1521,1165,1082,402,383,939,1340,1471,345
EIC31117.1,413,582,491,820,657,745,209,204,447,670,684,162
EIC31118.1,374,535,524,614,456,414,207,295,399,576,624,142
EIC31119.1,440,583,547,520,487,451,255,329,430,564,554,120
EIC31120.1,5543,9616,4218,7209,4798,8943,4443,5779,8281,3686,5284,2418
EIC31121.1,267,440,313,344,329,274,196,273,377,311,353,98
EIC31122.1,247,276,222,345,283,253,76,102,165,301,250,45
EIC31123.1,163,174,203,242,204,189,102,112,176,239,262,53
EIC31124.1,42,48,53,52,47,46,54,51,59,54,44,15
EIC31125.1,195,259,214,359,298,239,121,131,213,253,246,95
EIC31126.1,297,375,306,447,421,371,146,180,310,387,429,106
EIC31127.1,384,505,437,639,533,509,173,207,381,546,536,109
EIC31128.1,781,962,1014,1340,1130,1169,414,463,980,1203,1175,403
EIC31129.1,194,171,222,435,338,137,81,86,143,256,246,77
EIC31130.1,427,402,547,1060,898,317,216,246,446,690,681,173
EIC31131.1,349,330,383,563,489,264,156,209,363,614,579,112
EIC31132.1,2864,3790,4185,4769,3841,4086,1532,1750,3224,4902,5537,1182
EIC31133.1,237,382,212,341,249,725,150,137,239,281,297,90
EIC31134.1,84,91,112,552,408,97,67,67,161,138,172,78
EIC31135.1,1619,2423,2402,2924,2280,2273,1215,1229,1973,2326,2502,755
EIC31136.1,673,799,766,1380,1089,893,269,254,440,853,922,186
EIC31137.1,413,409,504,1374,1304,298,270,266,481,692,785,169
EIC31138.1,7679,8722,9537,9569,7983,4961,3039,4997,5614,10588,11198,1563
EIC31139.1,1158,2002,1286,1427,1090,2142,679,986,1044,1357,1324,314
EIC31140.1,1230,2178,1287,1558,1134,2715,918,1225,1336,1385,1486,444
EIC31141.1,218,280,260,454,381,282,149,152,277,358,401,109
EIC31142.1,199,265,262,439,313,239,122,136,232,354,393,97
EIC31143.1,462,591,564,750,726,518,302,424,644,797,778,208
EIC31144.1,632,650,895,960,881,604,363,374,491,1234,1192,164
EIC31145.1,5207,6431,7429,7956,6230,5631,2142,2801,4218,7785,8996,1436
EIC31146.1,4802,6039,6090,6910,5253,6301,1175,1663,2944,6050,6662,914
EIC31147.1,2423,2966,3082,3140,2352,2977,863,965,1537,3133,3223,505
EIC31148.1,1235,1516,1552,1619,1329,1449,562,628,938,1520,1612,298
EIC31149.1,1073,1363,1310,1454,1196,1360,324,427,904,1454,1429,282
EIC31150.1,1171,1321,1251,1540,1272,1425,349,373,810,1628,1386,232
EIC31151.1,2427,2852,3059,3511,2792,3226,908,1058,2116,3308,3421,720
EIC31152.1,1436,1712,1775,1766,1612,1693,577,842,1763,1942,2055,456
EIC31153.1,1631,1811,1943,2177,1891,1528,487,705,1413,2421,2184,427
EIC31154.1,2537,2845,3044,3636,3038,2639,728,948,2116,3501,3688,694
EIC31155.1,2596,3042,3289,3601,2968,2646,1045,1282,2339,3688,3795,799
EIC31156.1,2858,3343,3787,4335,3635,3837,1502,1743,3778,4087,4359,1337
EIC31157.1,1586,1701,1854,1861,1700,1812,696,712,1476,2204,2012,395
EIC31158.1,3798,4473,4674,4668,4002,4139,2297,2648,4382,5059,5044,1165
EIC31159.1,185,247,188,220,210,247,169,180,284,255,259,60
EIC31160.1,2414,3010,2977,3079,2566,2792,1057,1444,2476,2944,3143,661
EIC31161.1,3381,4513,4216,4200,3430,3997,2550,3344,4997,4244,4757,1097
EIC31162.1,567,819,727,665,635,834,343,341,624,854,910,161
EIC31163.1,271,354,339,329,254,345,168,159,191,319,367,68
EIC31164.1,540,690,643,798,615,726,281,287,461,770,915,212
EIC31165.1,447,578,529,594,479,590,268,263,344,616,652,106
EIC31166.1,424,498,590,509,422,334,192,198,255,555,566,103
EIC31167.1,614,701,767,512,586,420,223,286,373,788,673,83
EIC31168.1,865,1126,1401,866,690,593,215,347,384,907,751,83
EIC31169.1,36532,42725,56530,51089,39605,28740,37737,47951,51002,43837,51518,11473
EIC31170.1,9123,10090,11283,8928,8641,6534,8052,9534,9732,10761,11463,1710
EIC31171.1,1107,994,1716,1598,1436,815,545,722,1375,2837,2850,430
EIC31172.1,1694,1626,2639,2596,2185,1293,1039,1316,2449,4269,4702,888
EIC31173.1,639,611,748,698,765,426,349,539,766,1126,1035,157
EIC31174.1,668,757,795,935,847,625,277,383,833,1098,1114,250
EIC31175.1,161,155,146,207,199,93,45,58,134,241,227,51
EIC31176.1,456,561,606,784,676,442,253,337,527,680,803,162
EIC31177.1,144,164,200,301,226,112,64,77,132,198,174,43
EIC31178.1,500,655,691,957,754,488,250,361,485,719,687,174
EIC31179.1,89,215,102,117,81,153,80,86,128,109,108,25
EIC31180.1,592,951,780,943,716,702,390,434,573,681,946,177
EIC31181.1,3908,5334,4628,6369,5018,4746,1327,1836,3170,4568,5184,1151
EIC31182.1,538,819,767,938,829,707,234,301,464,906,894,154
EIC31183.1,642,966,848,1638,1275,2135,551,571,904,2406,2344,783
EIC31184.1,1377,1947,1741,1900,1537,1642,789,863,1173,1894,2158,390
EIC31185.1,2131,2696,2977,3180,2418,2355,1247,1473,2278,3511,4485,987
EIC31186.1,1465,1446,2120,936,1080,645,1161,1136,2122,1239,1004,191
EIC31187.1,5194,5211,6389,4231,4399,2349,1180,1517,3181,4914,4151,491
EIC31188.1,248,360,255,234,212,271,149,180,256,251,208,52
EIC31189.1,2653,4052,2912,2619,2025,3372,1962,2474,3397,2554,2258,812
EIC31190.1,4814,7655,4694,4615,3363,6037,3209,4327,6049,4328,3963,1341
EIC31191.1,1153,1746,1143,1120,876,1285,704,1028,1387,1151,1200,282
EIC31192.1,2381,3238,2303,2539,1918,2589,1437,2162,2604,2567,2654,549
EIC31193.1,1654,2414,1759,1954,1598,1992,1239,1598,1808,2133,2129,450
EIC31194.1,389,556,447,588,481,458,319,433,476,512,604,139
EIC31195.1,333,455,409,553,476,431,371,409,482,482,495,180
EIC31196.1,168,234,239,314,267,202,140,141,256,280,316,83
EIC31197.1,288,354,433,710,579,320,179,193,446,530,480,146
EIC31198.1,148,169,167,304,301,155,83,85,190,242,248,59
EIC31199.1,337,387,426,615,489,433,169,179,392,487,496,139
EIC31200.1,901,1064,1129,1773,1458,1074,479,554,1277,1501,1493,537
EIC31201.1,2377,2580,3049,4503,3480,2328,1195,1600,2603,3507,3863,933
EIC31202.1,172,234,202,274,230,244,103,140,164,210,230,40
EIC31203.1,106,170,129,271,207,139,106,109,159,157,163,49
EIC31204.1,635,670,766,1457,1250,630,319,343,566,790,951,218
EIC31205.1,13053,18538,16327,13876,10313,12972,15605,16658,19124,14600,13939,6220
EIC31206.1,1237,1665,1523,1584,1229,1096,600,834,1028,1681,1725,295
EIC31207.1,679,788,948,894,730,545,363,506,642,1157,1163,191
EIC31208.1,1315,1643,1792,1647,1371,1427,610,691,1267,1941,2117,398
EIC31209.1,622,675,894,983,784,562,286,382,659,1225,1332,259
